Country,Year,Records
AFGHANISTAN,2016,2737
ARMENIA,2016,55
AZERBAIJAN,2016,32
BELARUS,2016,185
BHUTAN,2016,5817
BURMA,2016,12347
BURUNDI,2016,694
CAMBODIA,2016,18
CAMEROON,2016,14
CENTRAL AFRICAN REPUBLIC,2016,401
CHAD,2016,0
"CHINA, PEOPLE'S REPUBLIC",2016,58
COLOMBIA,2016,529
"CONGO, DEMOCRATIC REPUBLIC",2016,16370
"CONGO, REPUBLIC",2016,16
COTE D'IVOIRE,2016,79
CUBA,2016,354
EGYPT,2016,21
EL SALVADOR,2016,364
ERITREA,2016,1949
ETHIOPIA,2016,1131
GAMBIA,2016,0
GEORGIA,2016,16
GUATEMALA,2016,8
GUINEA,2016,5
HAITI,2016,0
HONDURAS,2016,84
IRAN,2016,3750
IRAQ,2016,9880
JORDAN,2016,6
KAZAKHSTAN,2016,91
KENYA,2016,6
"KOREA, NORTH",2016,14
KUWAIT,2016,0
KYRGYZSTAN,2016,40
LAOS,2016,7
LIBERIA,2016,16
MAURITANIA,2016,0
MOLDOVA,2016,465
NEPAL,2016,33
PAKISTAN,2016,545
RUSSIA,2016,462
RWANDA,2016,140
SENEGAL,2016,16
SIERRA LEONE,2016,3
SOMALIA,2016,9020
SOUTH SUDAN,2016,189
SRI LANKA,2016,91
SUDAN,2016,1458
SYRIA,2016,12587
TAJIKISTAN,2016,17
TOGO,2016,19
TURKMENISTAN,2016,0
UGANDA,2016,65
UKRAINE,2016,2543
UZBEKISTAN,2016,41
VIETNAM,2016,52
YEMEN,2016,26
ZIMBABWE,2016,11
AFGHANISTAN,2017,1311
ARMENIA,2017,57
AZERBAIJAN,2017,20
BELARUS,2017,73
BHUTAN,2017,3550
BURMA,2017,5078
BURUNDI,2017,291
CAMBODIA,2017,3
CAMEROON,2017,21
CENTRAL AFRICAN REPUBLIC,2017,275
CHAD,2017,7
"CHINA, PEOPLE'S REPUBLIC",2017,26
COLOMBIA,2017,233
"CONGO, DEMOCRATIC REPUBLIC",2017,9377
"CONGO, REPUBLIC",2017,5
COTE D'IVOIRE,2017,51
CUBA,2017,177
EGYPT,2017,9
EL SALVADOR,2017,1124
ERITREA,2017,1917
ETHIOPIA,2017,766
GAMBIA,2017,5
GEORGIA,2017,0
GUATEMALA,2017,50
GUINEA,2017,5
HAITI,2017,0
HONDURAS,2017,104
IRAN,2017,2577
IRAQ,2017,6886
JORDAN,2017,5
KAZAKHSTAN,2017,39
KENYA,2017,6
"KOREA, NORTH",2017,12
KUWAIT,2017,6
KYRGYZSTAN,2017,25
LAOS,2017,0
LIBERIA,2017,8
MAURITANIA,2017,0
MOLDOVA,2017,301
NEPAL,2017,39
PAKISTAN,2017,346
RUSSIA,2017,377
RWANDA,2017,104
SENEGAL,2017,22
SIERRA LEONE,2017,5
SOMALIA,2017,6130
SOUTH SUDAN,2017,176
SRI LANKA,2017,12
SUDAN,2017,980
SYRIA,2017,6557
TAJIKISTAN,2017,0
TOGO,2017,0
TURKMENISTAN,2017,0
UGANDA,2017,58
UKRAINE,2017,4264
UZBEKISTAN,2017,35
VIETNAM,2017,21
YEMEN,2017,21
ZIMBABWE,2017,0
AFGHANISTAN,2018,805
ARMENIA,2018,58
AZERBAIJAN,2018,0
BELARUS,2018,181
BHUTAN,2018,2228
BURMA,2018,3555
BURUNDI,2018,201
CAMBODIA,2018,0
CAMEROON,2018,15
CENTRAL AFRICAN REPUBLIC,2018,148
CHAD,2018,0
"CHINA, PEOPLE'S REPUBLIC",2018,6
COLOMBIA,2018,128
"CONGO, DEMOCRATIC REPUBLIC",2018,7878
"CONGO, REPUBLIC",2018,5
